title,link,published,source,region,country_code,year_bucket
MWC 2019：Nokia貝爾實驗室著手投入6G網路研究 加快取得市場競爭優勢,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de73d8334f06b471ae1bc454dd2c&url=https%3a%2f%2fwww.cool3c.com%2farticle%2f141328&c=8975354118832497842&mkt=zh-tw,2019-02-27 06:45:00,Bing News,Taiwan,TW,2019
中國聯通攜中興 拚6G研發,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de73d8334f06b471ae1bc454dd2c&url=https%3a%2f%2fwww.ctee.com.tw%2fnews%2f20200519700137-430801&c=5033709174233317610&mkt=zh-tw,2020-05-18 18:00:00,Bing News,Taiwan,TW,2019
5G鄉鄉通，6G塑未來,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de73d8334f06b471ae1bc454dd2c&url=https%3a%2f%2fkpzg.people.com.cn%2fBIG5%2fn1%2f2025%2f0623%2fc404214-40506271.html&c=7005242553319464381&mkt=zh-tw,2025-06-23 01:55:00,Bing News,Taiwan,TW,2019
K-Network 2030戰略公布！韓國規劃最快2028年6G網路商用,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de73d8334f06b471ae1bc454dd2c&url=https%3a%2f%2fwww.sogi.com.tw%2farticles%2fKorea_6g%2f6259340&c=1639117577640323954&mkt=zh-tw,2023-02-21 16:00:00,Bing News,Taiwan,TW,2019
IEEE會議12月登台 聚焦6G,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de772e7242fbbdcbc5fa9a9889da&url=https%3a%2f%2fwww.ctee.com.tw%2fnews%2f20201130700154-430502&c=16984821990846520679&mkt=zh-tw,2020-11-29 16:00:00,Bing News,Taiwan,TW,2020
IEEE 2020會議12月登場！焦點放在6G技術 台灣也要超前部署了,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de772e7242fbbdcbc5fa9a9889da&url=https%3a%2f%2ftw.news.yahoo.com%2fieee-2020%25E6%259C%2583%25E8%25AD%25B012%25E6%259C%2588%25E7%2599%25BB%25E5%25A0%25B4-%25E7%2584%25A6%25E9%25BB%259E%25E6%2594%25BE%25E5%259C%25A86g%25E6%258A%2580%25E8%25A1%2593-%25E5%258F%25B0%25E7%2581%25A3%25E4%25B9%259F%25E8%25A6%2581%25E8%25B6%2585%25E5%2589%258D%25E9%2583%25A8%25E7%25BD%25B2%25E4%25BA%2586-082348917.html&c=7453838463307996964&mkt=zh-tw,2020-11-29 16:00:00,Bing News,Taiwan,TW,2020
5G還在蓋 6G要來了？2021值得期待的科技大事 ｜2020 年度回顧專題,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de772e7242fbbdcbc5fa9a9889da&url=https%3a%2f%2ftw.news.yahoo.com%2f5-g%25E9%2582%2584%25E5%259C%25A8%25E8%2593%258B-6-g%25E8%25A6%2581%25E4%25BE%2586%25E4%25BA%2586-2021-%25E5%2580%25BC%25E5%25BE%2597%25E6%259C%259F%25E5%25BE%2585%25E7%259A%2584%25E7%25A7%2591%25E6%258A%2580%25E5%25A4%25A7%25E4%25BA%258B-055112869.html&c=3737270818779405152&mkt=zh-tw,2020-12-29 16:00:00,Bing News,Taiwan,TW,2020
日本擬在2030年實現6G,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de772e7242fbbdcbc5fa9a9889da&url=https%3a%2f%2fzh.cn.nikkei.com%2findustry%2fscienceatechnology%2f39077-2020-01-19-11-40-23.html&c=3940564063285407169&mkt=zh-tw,2020-01-18 16:00:00,Bing News,Taiwan,TW,2020
工信部：今年已啟動6G概念研究 預計2020年將正式開始研發,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de772e7242fbbdcbc5fa9a9889da&url=https%3a%2f%2fnews.cnyes.com%2fnews%2fid%2f4235363&c=13319468684588415595&mkt=zh-tw,2018-11-12 03:11:00,Bing News,Taiwan,TW,2020
工信部開展6G願景研究,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de772e7242fbbdcbc5fa9a9889da&url=https%3a%2f%2forientaldaily.on.cc%2fcontent%2f%25E7%2594%25A2%25E7%25B6%2593%2fodn-20201225-1225_00202_022%2f%25E5%25B7%25A5%25E4%25BF%25A1%25E9%2583%25A8%25E9%2596%258B%25E5%25B1%25956G%25E9%25A1%2598%25E6%2599%25AF%25E7%25A0%2594%25E7%25A9%25B6&c=13185217490415407537&mkt=zh-tw,2025-12-24 18:52:00,Bing News,Taiwan,TW,2020
5G被禁前車之鑑 華為要澳洲揭牌6G條件,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de772e7242fbbdcbc5fa9a9889da&url=https%3a%2f%2fwww.ctee.com.tw%2ftag%2f6g%2fpage%2f3&c=9632502399008203444&mkt=zh-tw,2021-01-06 23:36:00,Bing News,Taiwan,TW,2020
2020/08/25 23:50國際性能為5G的10到100倍 美國「跨越式發展」佈局6G,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de772e7242fbbdcbc5fa9a9889da&url=https%3a%2f%2fwww.ettoday.net%2fnews%2fnews-list-2020-08-25-2.htm&c=12960127335956458298&mkt=zh-tw,2020-08-25 17:14:00,Bing News,Taiwan,TW,2020
5G還在蓋 6G要來了？2021值得期待的科技大事 ｜2020 年度回顧專題,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de7a580347f7b6b12025237fbca6&url=https%3a%2f%2ftw.news.yahoo.com%2f5-g%25E9%2582%2584%25E5%259C%25A8%25E8%2593%258B-6-g%25E8%25A6%2581%25E4%25BE%2586%25E4%25BA%2586-2021-%25E5%2580%25BC%25E5%25BE%2597%25E6%259C%259F%25E5%25BE%2585%25E7%259A%2584%25E7%25A7%2591%25E6%258A%2580%25E5%25A4%25A7%25E4%25BA%258B-055112869.html&c=3737270818779405152&mkt=zh-tw,2020-12-29 16:00:00,Bing News,Taiwan,TW,2021
布局6G！中華電投入低軌道衛星 台哥大：研究中,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de7a580347f7b6b12025237fbca6&url=https%3a%2f%2fwww.ntdtv.com.tw%2fb5%2f20210503%2fvideo%2f294335.html%3f%25E5%25B8%2583%25E5%25B1%25806G%25EF%25BC%2581%25E4%25B8%25AD%25E8%258F%25AF%25E9%259B%25BB%25E6%258A%2595%25E5%2585%25A5%25E4%25BD%258E%25E8%25BB%258C%25E9%2581%2593%25E8%25A1%259B%25E6%2598%259F%2520%25E5%258F%25B0%25E5%2593%25A5%25E5%25A4%25A7%25EF%25BC%259A%25E7%25A0%2594%25E7%25A9%25B6%25E4%25B8%25AD&c=3090531867102765310&mkt=zh-tw,2021-05-03 14:56:00,Bing News,Taiwan,TW,2021
應對中共6G挑戰 美英法等十國出台研發原則,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de7a580347f7b6b12025237fbca6&url=https%3a%2f%2fwww.ntdtv.com.tw%2fb5%2f20240228%2fvideo%2f385012.html%3f%25E6%2587%2589%25E5%25B0%258D%25E4%25B8%25AD%25E5%2585%25B16G%25E6%258C%2591%25E6%2588%25B0%2520%25E7%25BE%258E%25E8%258B%25B1%25E6%25B3%2595%25E7%25AD%2589%25E5%258D%2581%25E5%259C%258B%25E5%2587%25BA%25E5%258F%25B0%25E7%25A0%2594%25E7%2599%25BC%25E5%258E%259F%25E5%2589%2587&c=10309392096161716017&mkt=zh-tw,2024-02-28 04:41:00,Bing News,Taiwan,TW,2021
技嘉攻伺服器 超前部署6G,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de7a580347f7b6b12025237fbca6&url=https%3a%2f%2fwww.ctee.com.tw%2fnews%2f20210626700007-430298&c=16362136913093355215&mkt=zh-tw,2021-06-25 18:00:00,Bing News,Taiwan,TW,2021
TrendForce看2022年：6G與太空市場將漸抬頭,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de7eedd245aab951cfccb42fa58b&url=https%3a%2f%2fwww.ctimes.com.tw%2fDispNews-tw.asp%3fO%3dHK5AKBTOLEQSAA00NE&c=4004629063272563122&mkt=zh-tw,2021-10-20 05:57:00,Bing News,Taiwan,TW,2022
NTT將在大阪世博會上採用光技術驗證6G,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de7eedd245aab951cfccb42fa58b&url=https%3a%2f%2fzh.cn.nikkei.com%2findustry%2fitelectric-appliance%2f47191-2022-01-04-10-20-58.html&c=10657151175861107945&mkt=zh-tw,2022-01-03 16:00:00,Bing News,Taiwan,TW,2022
TAICS標準論壇 聚焦B5G/6G,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de7eedd245aab951cfccb42fa58b&url=https%3a%2f%2fwww.ctee.com.tw%2fnews%2f20220512701043-439901&c=7582664100695325120&mkt=zh-tw,2022-05-11 18:00:00,Bing News,Taiwan,TW,2022
工研院看MWC 2023趨勢：B5G應用、6G、元宇宙議題大熱門,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de812eb840d890c5c219a198dcc0&url=https%3a%2f%2fwww.ctimes.com.tw%2fdispnews-tw.asp%3fo%3d2303172008r3&c=10449381479459383948&mkt=zh-tw,2023-03-16 17:00:00,Bing News,Taiwan,TW,2023
啟動後5G時代！MWC 2023行動通訊大展重點趨勢研討會 智慧化應用、6G卡位、元宇宙議題大熱,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de812eb840d890c5c219a198dcc0&url=https%3a%2f%2ftw.news.yahoo.com%2f%25E5%2595%259F%25E5%258B%2595%25E5%25BE%258C5g%25E6%2599%2582%25E4%25BB%25A3-mwc-2023%25E8%25A1%258C%25E5%258B%2595%25E9%2580%259A%25E8%25A8%258A%25E5%25A4%25A7%25E5%25B1%2595%25E9%2587%258D%25E9%25BB%259E%25E8%25B6%25A8%25E5%258B%25A2%25E7%25A0%2594%25E8%25A8%258E%25E6%259C%2583-%25E6%2599%25BA%25E6%2585%25A7%25E5%258C%2596%25E6%2587%2589%25E7%2594%25A8-6g%25E5%258D%25A1%25E4%25BD%258D-102600531.html&c=6936490833241357403&mkt=zh-tw,2023-03-16 17:00:00,Bing News,Taiwan,TW,2023
2023全球6G發展大會在兩江新區開幕,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de812eb840d890c5c219a198dcc0&url=http%3a%2f%2fcq.people.com.cn%2fBIG5%2fn2%2f2023%2f1206%2fc365411-40667751.html&c=16414175469782998045&mkt=zh-tw,2023-12-06 01:55:00,Bing News,Taiwan,TW,2023
2023全球6G技術大會倡導“6G融通世界”,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de812eb840d890c5c219a198dcc0&url=https%3a%2f%2fbig5.news.cn%2fgate%2fbig5%2fwww.news.cn%2ftech%2f20230213%2fb2f58f942b4f436a9df1894d7f72e529%2fc.html&c=1076359960612241979&mkt=zh-tw,2023-02-13 01:36:00,Bing News,Taiwan,TW,2023
工信部：中國推動全球大部分國家新增中頻段6G頻譜資源劃分,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de812eb840d890c5c219a198dcc0&url=https%3a%2f%2ffinance.people.com.cn%2fBIG5%2fn1%2f2023%2f1225%2fc1004-40146153.html&c=8248524337623176391&mkt=zh-tw,2023-12-25 02:55:00,Bing News,Taiwan,TW,2023
加速6G生態系發展 歐盟6G IA與臺灣資通產業標準協會簽訂臺歐合作協定,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de812eb840d890c5c219a198dcc0&url=https%3a%2f%2fwww.taiwannews.com.tw%2fzh%2fnews%2f4905977&c=628808405335045840&mkt=zh-tw,2023-05-31 05:25:00,Bing News,Taiwan,TW,2023
5G 晶片研發遇挫折 Apple 仍期望能聚焦 6G,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de812eb840d890c5c219a198dcc0&url=https%3a%2f%2fwww.newmobilelife.com%2f2023%2f12%2f05%2fapple-work-on-implementing-6g%2f&c=15400559508091125270&mkt=zh-tw,2023-12-04 16:00:00,Bing News,Taiwan,TW,2023
中國工信部長：2023要穩住重點產業 加速研發6G,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de812eb840d890c5c219a198dcc0&url=https%3a%2f%2ftw.news.yahoo.com%2f%25E4%25B8%25AD%25E5%259C%258B%25E5%25B7%25A5%25E4%25BF%25A1%25E9%2583%25A8%25E9%2595%25B7-2023%25E8%25A6%2581%25E7%25A9%25A9%25E4%25BD%258F%25E9%2587%258D%25E9%25BB%259E%25E7%2594%25A2%25E6%25A5%25AD-%25E5%258A%25A0%25E9%2580%259F%25E7%25A0%2594%25E7%2599%25BC6g-084827638.html&c=17635575630557561138&mkt=zh-tw,2023-03-04 16:01:00,Bing News,Taiwan,TW,2023
MIC：明年5G手機滲透率68% 企業專網長尾市場成形,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de812eb840d890c5c219a198dcc0&url=https%3a%2f%2fwww.moneydj.com%2fkmdj%2fnews%2fnewsviewer.aspx%3fa%3d7a106528-285a-4aed-8d8d-9e0c3a71a95e&c=1794082675850215175&mkt=zh-tw,2023-10-30 10:24:00,Bing News,Taiwan,TW,2023
國科會：2024年擴大投入6G,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de812eb840d890c5c219a198dcc0&url=https%3a%2f%2fwww.ctee.com.tw%2fnews%2f20230411700121-430502&c=13544988956584965372&mkt=zh-tw,2023-04-10 17:59:00,Bing News,Taiwan,TW,2023
"6G Market 2023-2043: Technology, Trends, Forecasts, Players",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de812eb840d890c5c219a198dcc0&url=https%3a%2f%2fwww.idtechex.com%2fportal.v2%2fpages%2fforecast.tw.asp%3farticleid%3d28318%26portaltopicid%3d282%26next%3dtrue&c=7816289633476574851&mkt=zh-tw,2023-10-08 04:25:00,Bing News,Taiwan,TW,2023
是德科技：6G估2024年後開始 電動車拚共同標準,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de85b9d748deaf9662ebd220e68d&url=https%3a%2f%2ftw.news.yahoo.com%2f%25E6%2598%25AF%25E5%25BE%25B7%25E7%25A7%2591%25E6%258A%2580-6g%25E4%25BC%25B02024%25E5%25B9%25B4%25E5%25BE%258C%25E9%2596%258B%25E5%25A7%258B-%25E9%259B%25BB%25E5%258B%2595%25E8%25BB%258A%25E6%258B%259A%25E5%2585%25B1%25E5%2590%258C%25E6%25A8%2599%25E6%25BA%2596-040634093.html&c=14306901747516090672&mkt=zh-tw,2023-02-07 16:00:00,Bing News,Taiwan,TW,2024
"Definitive Guide to 6G Communications: Materials and Hardware Markets, Technology 2024-2044",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de85b9d748deaf9662ebd220e68d&url=https%3a%2f%2fhk.finance.yahoo.com%2fnews%2fdefinitive-guide-6g-communications-materials-103300902.html&c=6387508869246410454&mkt=zh-tw,2024-01-14 16:00:00,Bing News,Taiwan,TW,2024
GTC 2024：NVIDIA公布6G研究平台，Ansys、是德科技、三星、軟銀等成採用先驅,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de85b9d748deaf9662ebd220e68d&url=https%3a%2f%2fwww.cool3c.com%2farticle%2f212081&c=16699339182085040577&mkt=zh-tw,2024-03-18 23:00:00,Bing News,Taiwan,TW,2024
2024下世代通訊技術高峰會：布局6G時代 助攻台廠前進國際搶佔商機,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de85b9d748deaf9662ebd220e68d&url=https%3a%2f%2fwww.thenewslens.com%2farticle%2f244997&c=4688641227075221051&mkt=zh-tw,2024-11-20 16:00:00,Bing News,Taiwan,TW,2024
2024下世代通訊技術高峰會11月登場，台廠聯手搶攻6G時代新商機,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de85b9d748deaf9662ebd220e68d&url=https%3a%2f%2fwww.thenewslens.com%2farticle%2f243899&c=17912400058418876222&mkt=zh-tw,2024-10-27 17:00:00,Bing News,Taiwan,TW,2024
2024 下世代通訊技術高峰會：布局 6G 時代 助攻台廠前進國際搶佔商機,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de85b9d748deaf9662ebd220e68d&url=https%3a%2f%2fwww.inside.com.tw%2farticle%2f36827-&c=8011683987179237166&mkt=zh-tw,2024-11-19 16:00:00,Bing News,Taiwan,TW,2024
2024全球6G大會4月中開幕 10國專家聚焦6G共識,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de85b9d748deaf9662ebd220e68d&url=https%3a%2f%2fwww.technice.com.tw%2ftechmanage%2ftelecom%2f103134%2f&c=13435046990363620237&mkt=zh-tw,2024-03-25 17:00:00,Bing News,Taiwan,TW,2024
2024年最有前景的產業(二) 非地面網路、6G 通訊與氧化鎵 昇達科 聯發科 環球晶 受惠大,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de85b9d748deaf9662ebd220e68d&url=https%3a%2f%2fnews.cnyes.com%2fnews%2fid%2f5403644&c=14141984120393149040&mkt=zh-tw,2023-12-10 01:11:00,Bing News,Taiwan,TW,2024
6G估2024年後開始 靠電動車推波助瀾,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de85b9d748deaf9662ebd220e68d&url=https%3a%2f%2fctinews.com%2fnews%2fitems%2fMyWkBA29n6&c=10159286077447219561&mkt=zh-tw,2023-02-08 07:52:00,Bing News,Taiwan,TW,2024
2024全球聚焦AI晶片、6G、串流媒體、雲端主權,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de85b9d748deaf9662ebd220e68d&url=https%3a%2f%2fnews.housefun.com.tw%2fnews%2farticle%2f209353420580.html&c=15787209616655491729&mkt=zh-tw,2024-04-23 11:32:00,Bing News,Taiwan,TW,2024
2024 下世代通訊技術高峰會 11 月登場，台廠聯手搶攻 6G 時代新商機,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de85b9d748deaf9662ebd220e68d&url=https%3a%2f%2fwww.inside.com.tw%2farticle%2f36594-&c=9097457342648333112&mkt=zh-tw,2024-10-27 17:00:00,Bing News,Taiwan,TW,2024
是德科技：6G估2024年後開始 電動車拚共同標準,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de85b9d748deaf9662ebd220e68d&url=https%3a%2f%2fwww.cna.com.tw%2fnews%2fafe%2f202302080079.aspx&c=1454190711461097839&mkt=zh-tw,2023-02-08 04:06:00,Bing News,Taiwan,TW,2024
6G 快來了！愛立信：2030年6G 商用服務成真,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de88b205463baaa146e5db449bec&url=https%3a%2f%2fudn.com%2fnews%2fstory%2f7240%2f9234375&c=14802468434588288679&mkt=zh-tw,2025-12-29 20:03:00,Bing News,Taiwan,TW,2025
愛立信：6G商用服務將於2030年前後推出 AI-RAN重塑智慧網路並啟動6G標準化,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de88b205463baaa146e5db449bec&url=https%3a%2f%2ftw.news.yahoo.com%2f%25E6%2584%259B%25E7%25AB%258B%25E4%25BF%25A1-6g%25E5%2595%2586%25E7%2594%25A8%25E6%259C%258D%25E5%258B%2599%25E5%25B0%2587%25E6%2596%25BC2030%25E5%25B9%25B4%25E5%2589%258D%25E5%25BE%258C%25E6%258E%25A8%25E5%2587%25BA-ai-ran%25E9%2587%258D%25E5%25A1%2591%25E6%2599%25BA%25E6%2585%25A7%25E7%25B6%25B2%25E8%25B7%25AF%25E4%25B8%25A6%25E5%2595%259F%25E5%258B%25956g%25E6%25A8%2599%25E6%25BA%2596%25E5%258C%2596-061638122.html&c=3669287932582239402&mkt=zh-tw,2025-12-29 22:21:00,Bing News,Taiwan,TW,2025
晶片、網通廠搶6G 先機,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de88b205463baaa146e5db449bec&url=https%3a%2f%2fmoney.udn.com%2fmoney%2fstory%2f5607%2f9235554&c=12587813603860560310&mkt=zh-tw,2025-12-30 07:58:00,Bing News,Taiwan,TW,2025
《科技》行動數據流量2025年創新高 AI-RAN點火、6G正式啟動標準化,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de88b205463baaa146e5db449bec&url=https%3a%2f%2fwww.chinatimes.com%2frealtimenews%2f20251231001632-260410&c=10294066842537715379&mkt=zh-tw,2025-12-30 18:49:00,Bing News,Taiwan,TW,2025
愛立信：6G商業化最快2029年到來 台廠供應鏈須提前準備,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de88b205463baaa146e5db449bec&url=https%3a%2f%2fwww.ctee.com.tw%2fnews%2f20251230700846-430502&c=7356277109653219235&mkt=zh-tw,2025-12-29 19:54:00,Bing News,Taiwan,TW,2025
2025年電信產業「5大趨勢」 AI主導5G、6G基礎架構,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de88b205463baaa146e5db449bec&url=https%3a%2f%2fwww.technice.com.tw%2ftechmanage%2ftelecom%2f163088%2f&c=7864598249017459928&mkt=zh-tw,2025-02-04 16:00:00,Bing News,Taiwan,TW,2025
愛立信：6G 2030年商轉 全球用戶數達1.8億,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de88b205463baaa146e5db449bec&url=https%3a%2f%2ftw.news.yahoo.com%2f%25E6%2584%259B%25E7%25AB%258B%25E4%25BF%25A1-6g-2030%25E5%25B9%25B4%25E5%2595%2586%25E8%25BD%2589-%25E5%2585%25A8%25E7%2590%2583%25E7%2594%25A8%25E6%2588%25B6%25E6%2595%25B8%25E9%2581%25941-8%25E5%2584%2584-095757079.html&c=15500126041779447327&mkt=zh-tw,2025-12-30 02:08:00,Bing News,Taiwan,TW,2025
2025年6G發展大會下周在京舉辦,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de88b205463baaa146e5db449bec&url=https%3a%2f%2fbig5.news.cn%2fgate%2fbig5%2fwww.news.cn%2ftech%2f20251105%2f4ce018f9a9ad46fdaa5614e6f8ee6e19%2fc.html&c=1147396498483660959&mkt=zh-tw,2025-11-04 22:36:00,Bing News,Taiwan,TW,2025
AI、Open RAN引爆6G前哨戰！「2025 5G Summit」台廠秀硬實力鏈結8國16電信巨擘,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de88b205463baaa146e5db449bec&url=https%3a%2f%2fnews.cnyes.com%2fnews%2fid%2f6198734&c=16227687724445467112&mkt=zh-tw,2025-10-21 03:46:00,Bing News,Taiwan,TW,2025
