title,link,published,source
Trump admin preps spectrum for 6G - Fierce Network,https://news.google.com/rss/articles/CBMiekFVX3lxTE0zZEV1bTg2N2pPYVF5aFJSak9vd19rYUNWRkYzOVRWWWNWTHhZc0tLa1J6NGl3X0FIa2VRT1ItbmFKajAzUDZtU2RIRkQ3Yk9SdzB0bkJ2ejBTanc1NS1FZk1CTXprblpJeE1zbzB2Nng3bU9WbUVDLWZ3?oc=5,2025-12-22 08:00:00,Fierce Network
ETSI mWT SDN Plugtests Advance Multi-Vendor Interoperability in 5G/6G Networks - The Fast Mode,https://news.google.com/rss/articles/CBMizgFBVV95cUxOZWFwLTJhbUtZeTZ6QVhySXp2TElxLTdJaF9oa0ktRmwtd0txY3htZGk4dFZ0bFRoSHRnSzJ1UXBoMUctVVZTaVl3Y1JKWmFkdERlbm51eFlWZWVyLTdlY20wWGlsT0tTMXM5akxNUE84ZU9wWGJiSHJVaGJOVWJlZERHbnd5YWR3RnpDTU9FcllKTkl2UlZnOS1FLVNyV3cxTXVkT3J4Zl9DLWN3STREcFI3QVZwa3Q0V3g5THRkWV9QWTlkV0RKNUdmQmZzZw?oc=5,2026-01-11 23:37:09,The Fast Mode
Large language models in 6G from standard to on-device networks - Nature,https://news.google.com/rss/articles/CBMiX0FVX3lxTE11S2F2VDlJYmVnSlJWbXN3eVk0WTFDVDEzZExCVGYzUjRadllqNmQzZDQyYUpuMjNObWkzdXhZcmd0VUw0a3VPZ0JHRU1RVFVjQkRCV0xZamdPcTNIVjZr?oc=5,2026-01-06 09:23:33,Nature
An ultra-fast quantum tunneling device for the 6G terahertz era - Phys.org,https://news.google.com/rss/articles/CBMiekFVX3lxTE1FdGJ5LTdnLUtTcWtVNkQxT3pWTTdhb2hmYlFUN3o0WkRLMUtBOEd1VTVTbTJlMjVHZFdVWW52Ujl5MGQ5ZmstTVZCWU9OOXhyMHZ2bDlHeTljVFU2ZENFZ2pvRWotcWNtblBsSGxOZkYwNUtfcHZycEhB?oc=5,2026-01-09 14:44:36,Phys.org
White House Directs 6G Spectrum Reallocation Push - MeriTalk,https://news.google.com/rss/articles/CBMihwFBVV95cUxOblROWmNFc2J1ZVlBMkcydnVvWks0c2ZmQS1hTWFtdEI2aUxMV0g5Z041MjFHbG1Qc2FITnJtM3NMRWJ2YmVFRE1Ybkx5OWhhSU93Xzg1Nmg4UlZ6MWE5Nk95a2ZKeGc4T2dkSTNER0VPczhWVFV2VTBUMFdKZU14Tjhxdm0xWEk?oc=5,2025-12-24 08:00:00,MeriTalk
"Looking ahead: Ready or not, here comes 6G - Light Reading",https://news.google.com/rss/articles/CBMifEFVX3lxTFBoN2tQMFJvZ1BKSEpkNnpRRUFpY2tiYzZWT253dDhyNG9YNnc4QU1TWURvQUp2dWhNTkd2ZGN3LWVRaFYxQmRPQzVrZGJmNTFaaHY3YmdJdHc4VzJMTzFRT2JpYUFLYUo5T0JyRktKV2JiZk84WkQ4UVp3SEE?oc=5,2026-01-02 08:00:00,Light Reading
White House Issues Memorandum to Advance 6G - ExecutiveGov,https://news.google.com/rss/articles/CBMifEFVX3lxTFB2MFp2aWJKbFBObjdtbmg3NUJaZ0xIeHRUbmFaQTQ1VWNlR3lSTDVjcmd2ZnBtX2p1QTNPd3hvN0xNTVVZZG1OMGtOWDJIdTNVN1hRY2hJYkpsNjhJNGVfME1Ta0l6MlAzWmhNTFdESm9aVTY4Z20xZGRuVTE?oc=5,2025-12-22 08:00:00,ExecutiveGov
Chinese 6G smart surface could allow stealth jets to use radar as a power source - South China Morning Post,https://news.google.com/rss/articles/CBMiyAFBVV95cUxQbDg1UnRianh3QTZUZnZsUVdSdDgwdjN5SUREcXZrNG5CYmo3WWpreDVQQVQyQV85Q1RZTzE1Yk14TEJZOEZJY0llV3BTbXlfbVFOaGp2MkVISEFvTWlXM00zZ2tURDBRNFRyMVFVWG1tTlhLcGkwN19PY2FmZ3dRYkRuZ3NYZ3Z5dU00dTBIaWhWeGg3TDlCSnpWNzJUM25pZVdqOThtMHVDRzhfWUlnYmtWbWMyOU42T1JyaXQxS2RoQ09ZZlp0UdIByAFBVV95cUxNVjdGN1FrUkdVRTQtaDl0TmR6S3gzejBqbXlMOWRzZmZUY3hiV1lmR1F5YUl3c0dBZVhtdDRENDc5bl84ZkRGZzRaWjBMeU9GSWpoaFZkcHoxY3hXS2I0RnQ2ZGM5Sm52VlVoVzFBU2x1MVFkaGstMWZyVkZCT01GRTZjVU5DZldxWlpoUUtLQ05qejM0MndUVnF1aXNLdFJRejR1d0lVRXQ5YWpqX3ZUQzdPWnVRaXI1c2hlLXBCZ19SR1Ryb3RxVw?oc=5,2025-12-28 08:00:00,South China Morning Post
China’s 6G surface could convert enemy radar beams into power for stealth jets - Interesting Engineering,https://news.google.com/rss/articles/CBMiigFBVV95cUxObjYwazBBQkNQV1lYTkxXenFGbHdET09mVlZZQk80R2cwSkRDZmlFcTFZaWRqVDBvMW5yS1dWc21WRl8tRFNOYm5mVlBRLXFJTTZOWXBjVFlqMzEzZkN0azhxY0dOSHoxSml6TWN0SXhsN05DRXZQbXFuUkVNeGdPS0pXVHdDQk9nLWc?oc=5,2026-01-02 08:00:00,Interesting Engineering
6G standardisation moves closer as 2026 begins ... - eeNews Europe,https://news.google.com/rss/articles/CBMihgFBVV95cUxQSjlmcXpjRXdqUTEyekNfaVJDTmNjQVhTM1lkU05KN3BlaVdLSjhkWkR2NDlPaC0td3hRbGdtTl9rQjBWTEp0MEdiOTk1d3REVG5ERzFacEhjU3Jwd3AtQmpLTUVvQ3VmYmYzOG5mRXdZOGcxcUVoMUl0b29tVldpUEVHSjFEQQ?oc=5,2026-01-08 12:13:24,eeNews Europe
